Код;Наименование;Цена;Таблица
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление промежуточного зуба  коронкой безметалловой фрезерованной;30000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата  коронкой металлокерамической;30000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата  коронкой металлокерамической с использованием мультиюнита;45000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление промежуточного зуба  коронкой металлокерамической;30000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата  коронкой безметалловой фрезерованной с нанесением керамики;47000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление промежуточного зуба  коронкой безметалловой фрезерованной с нанесением керамики;47000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным) с опорой на имплантаты: восстановление опорного имплантата коронкой провизорной полимерной (прямым способом);8000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным) с опорой на имплантаты:  восстановление промежуточного зуба  коронкой провизорной полимерной (прямым способом);8000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным) с опорой на имплантаты: восстановление опорного имплантата коронкой провизорной полимерной (лабораторным способом);10000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным):  восстановление промежуточного зуба  коронкой провизорной полимерной (лабораторным способом);10000;Мостовидные протезы на имплантатах
